user_id,code,user_role,email,password,First_name,Surname,Middle_name,group_id,telephone,city,information,vk,facebook,linkedIn,instagram
1,413583763,student,Dudnitskij@mail.ru,,Кеон,Дудницкий,Ювеналиевич,,+79249662746,Москва,Меня зовут Кеон,,https://www.facebook.com/Keon27638,,https://www.instagram.com/Keon73736
2,236556298,student,Baganskaja@mail.ru,,Сарала,Баганская,Ипатовна,,+79677163311,Санкт-Петербург,Меня зовут Сарала,,,,https://www.instagram.com/Sarala25995
3,983762792,teacher,Tolochanov@mail.ru,,Расе,Толочанов,Фабианович,,+79147579702,Москва,,https://vk.com/Rase48853,,,
4,506953990,teacher,Shalatovskaja@mail.ru,,Делана,Шалатовская,Феофановна,,+79151246352,Москва,Меня зовут Делана,,,,https://www.instagram.com/Delana70852
5,383703326,student,Padjukov@mail.ru,Apijan80,Апиян,Падюков,Андронович,,+79105071438,Новосибирск,,https://vk.com/Apijan18497,https://www.facebook.com/Apijan70860,,
6,734712999,student,Markushkina@mail.ru,Akada7,Акада,Маркушкина,Савватиевна,,+79493353433,Москва,Меня зовут Акада,,https://www.facebook.com/Akada5836,https://linkedin.com/Akada68823,https://www.instagram.com/Akada17407
7,634066502,student,Kudankin@mail.ru,,Бахир,Куданкин,Абросимович,,+79276238517,Москва,Меня зовут Бахир,,,https://linkedin.com/Bahir22881,
8,590918694,student,Tarmonina@mail.ru,Niljufar51,Нилюфар,Тармонина,Довмонтовна,,+79203941765,Москва,Меня зовут Нилюфар,,https://www.facebook.com/Niljufar12640,,
9,739295289,student,Laschev@mail.ru,,Еулампий,Лащев,Наркисович,,+79859197242,Новосибирск,,,https://www.facebook.com/Eulampij94537,,
10,122914764,student,Turpovskaja@mail.ru,,Кирексия,Турповская,Ратмировна,,+79232251976,Москва,,https://vk.com/Kireksija68589,,https://linkedin.com/Kireksija18805,
11,913432334,student,Napituhin@mail.ru,,Жаксылык,Напитухин,Баженович,,+79194976326,Санкт-Петербург,,,https://www.facebook.com/Zhaksylyk60670,https://linkedin.com/Zhaksylyk86572,https://www.instagram.com/Zhaksylyk1465
12,727759325,student,Aralushkina@mail.ru,,Ниселда,Аралушкина,Мстиславовна,,+79999573691,Москва,,,https://www.facebook.com/Niselda6812,,
13,556346357,student,Akkermantsev@mail.ru,,Деддрик,Аккерманцев,Акилович,,+79136220133,Казань,Меня зовут Деддрик,https://vk.com/Deddrik56838,,,https://www.instagram.com/Deddrik54264
14,799847090,student,Gorjankina@mail.ru,Lipatra29,Липатра,Горянкина,Феофановна,,+79190620333,Махачкала,Меня зовут Липатра,https://vk.com/Lipatra44661,https://www.facebook.com/Lipatra4460,,
15,120665781,student,Tamozov@mail.ru,Afrosin39,Афросин,Тамозов,Иосифович,,+79154901696,Махачкала,,https://vk.com/Afrosin37478,,,https://www.instagram.com/Afrosin80209
16,946130267,teacher,Kozhina@mail.ru,Ahata63,Ахата,Кожина,Лазаревна,,+79148370566,Москва,Меня зовут Ахата,,https://www.facebook.com/Ahata89823,,
17,284328642,student,Kacherminskij@mail.ru,,Аскольд,Качерминский,Памфилиевич,,+79149884393,Махачкала,Меня зовут Аскольд,,,,
18,534523892,student,Churleeva@mail.ru,Gizz92,Гизз,Чурлеева,Изосимовна,,+79185034237,Санкт-Петербург,Меня зовут Гизз,,https://www.facebook.com/Gizz49675,,https://www.instagram.com/Gizz20753
19,358120759,student,Podmushal'skij@mail.ru,Fihar1,Фихар,Подмушальский,Прокопиевич,,+79216550539,Москва,Меня зовут Фихар,https://vk.com/Fihar48842,,,
20,274760394,student,Holoditskaja@mail.ru,,Паулита,Холодицкая,Владленовна,,+79541642792,Москва,Меня зовут Паулита,,,https://linkedin.com/Paulita96818,
